property_id;property_type;county;settlement_type;city;building_area_m2;land_area_m2;scenario;source_condition;target_condition;current_score;target_score;score_delta;current_factor;target_factor;factor_delta;current_value;target_value;value_delta;value_delta_pct;ksh_baseline;ksh_source_level
ID523;Lakóház;Békés;község;Szabadkígyós;113.47142358247852;1116.959962644726;2->5;2;5;0.35649;0.469624;0.11313400000000001;0.942596;0.98785;0.045254000000000016;18503681.0;19392040.0;888359.0;0.04800985274227328;19630556.0;city
ID526;Lakóház;Borsod-Abaúj-Zemplén;város;Sárospatak;40.0;1324.496853338146;2->5;2;5;0.664568;0.654742;-0.009826000000000001;1.065827;1.061897;-0.003929999999999989;12491495.0;12445429.0;-46066.0;-0.0036877891717524603;11720000.0;city
ID528;Lakóház;Pest;város;Tápiószele;110.3150902684833;3102.751172591667;2->5;2;5;0.362576;0.356301;-0.0062750000000000306;0.94503;0.94252;-0.0025100000000000122;17826942.0;17779592.0;-47350.0;-0.0026560921104696474;18863880.0;city
ID530;Lakóház;Borsod-Abaúj-Zemplén;község;Selyeb;128.45986504744957;2407.017156943637;2->5;2;5;0.28089;0.351038;0.07014800000000004;0.912356;0.940415;0.028059000000000056;23617201.0;24343539.0;726338.0;0.03075461821237834;25885947.0;county_settlement
ID539;Lakóház;Heves;város;Verpelét;74.0;7459.078350849776;2->5;2;5;0.546625;0.426108;-0.12051700000000004;1.01865;0.970443;-0.04820700000000011;11910054.0;11346422.0;-563632.0;-0.04732405075577323;11692000.0;city
ID542;Lakóház;Szabolcs-Szatmár-Bereg;község;Tiszadada;45.0;862.2952926855291;2->5;2;5;0.57918;0.545638;-0.03354200000000007;1.031672;1.018255;-0.013417000000000012;7334306.0;7238923.0;-95383.0;-0.013005047785025604;7109145.0;county_settlement
ID547;Lakóház;Jász-Nagykun-Szolnok;község;Csépa;113.0;923.8621989385492;2->5;2;5;0.282537;0.426373;0.14383600000000002;0.913015;0.970549;0.057533999999999974;20104247.0;21371135.0;1266888.0;0.0630159388710256;22019632.0;county_settlement
ID556;Lakóház;Jász-Nagykun-Szolnok;város;Túrkeve;100.0;939.4943332062338;2->5;2;5;0.569213;0.626155;0.05694200000000005;1.027685;1.050462;0.022777000000000047;17984489.0;18383082.0;398593.0;0.022163154037904552;17500000.0;city
ID558;Lakóház;Borsod-Abaúj-Zemplén;város;Ózd;150.0;2020.7507458715493;2->5;2;5;0.418863;0.423104;0.004240999999999995;0.967545;0.969242;0.0016970000000000596;19592792.0;19627142.0;34350.0;0.0017531957670963894;20250000.0;city
ID563;Lakóház;Jász-Nagykun-Szolnok;község;Alattyán;60.0;375.6214591019729;2->5;2;5;0.413222;0.416573;0.0033510000000000484;0.965289;0.966629;0.0013400000000000079;9382608.0;9395636.0;13028.0;0.0013885265162948298;9720000.0;city
ID566;Lakóház;Heves;község;Szihalom;161.0;853.4042876799397;2->5;2;5;0.509464;0.546335;0.03687099999999999;1.003786;1.018534;0.014747999999999983;22463719.0;22793776.0;330057.0;0.014692892125297686;22379000.0;city
ID568;Lakóház;Tolna;város;Dunaföldvár;72.0;1353.1947542433431;2->5;2;5;0.650467;0.569454;-0.081013;1.060187;1.027782;-0.03240500000000002;13663685.0;13246048.0;-417637.0;-0.030565473369738836;12888000.0;city
ID590;Lakóház;Jász-Nagykun-Szolnok;város;Abádszalók;89.0;1205.2206905363955;2->5;2;5;0.520789;0.490739;-0.030049999999999966;1.008315;0.996296;-0.012019000000000113;20281257.0;20039494.0;-241763.0;-0.01192051360524646;20114000.0;city
ID599;Lakóház;Bács-Kiskun;nagyközség;Lakitelek;63.28065669599413;1573.776785206898;2->5;2;5;0.483779;0.506356;0.022577000000000014;0.993512;1.002542;0.009030000000000094;20181293.0;20364734.0;183441.0;0.00908965545468271;20313091.0;city
ID601;Lakóház;Békés;város;Tótkomlós;147.0;632.9752638056963;2->5;2;5;0.64685;0.509072;-0.13777800000000007;1.05874;1.003629;-0.05511099999999991;19921254.0;18884283.0;-1036971.0;-0.052053500246520626;18816000.0;city
ID607;Lakóház;Hajdú-Bihar;község;Mikepércs;174.0;1152.2034229601554;2->5;2;5;0.472734;0.435206;-0.037528000000000006;0.989094;0.974082;-0.015012000000000025;99475142.0;97965397.0;-1509745.0;-0.015177108266907526;100572000.0;city
ID615;Lakóház;Szabolcs-Szatmár-Bereg;város;Vásárosnamény;37.0;1518.994202221363;2->5;2;5;0.398025;0.448602;0.05057699999999998;0.95921;0.979441;0.020231;6991680.0;7139143.0;147463.0;0.021091211268250264;7289000.0;city
ID617;Lakóház;Borsod-Abaúj-Zemplén;község;Girincs;95.71393320310668;477.6419707002104;2->5;2;5;0.602289;0.673003;0.07071400000000005;1.040915;1.069201;0.028286000000000033;20076464.0;20622020.0;545556.0;0.027173908712211474;19287315.0;county_settlement
ID624;Lakóház;Borsod-Abaúj-Zemplén;város;Mezőkövesd;57.0;1785.7812366701532;2->5;2;5;0.484186;0.543804;0.05961799999999995;0.993675;1.017522;0.023847000000000063;16595358.0;16993628.0;398270.0;0.02399887968671721;16701000.0;city
ID626;Lakóház;Nógrád;község;Endrefalva;157.0;2508.5010090676856;2->5;2;5;0.510214;0.352628;-0.15758599999999995;1.004085;0.941051;-0.06303399999999992;12768955.0;11967348.0;-801607.0;-0.06277780758096492;12717000.0;city
ID629;Lakóház;Hajdú-Bihar;város;Balmazújváros;92.0;1237.3361843352095;2->5;2;5;0.413212;0.45424;0.04102799999999995;0.965285;0.981696;0.016411000000000064;36321742.0;36939263.0;617521.0;0.01700141474492055;37628000.0;city
ID630;Lakóház;Jász-Nagykun-Szolnok;község;Tiszapüspöki;60.0;847.0636954078062;2->5;2;5;0.471792;0.475143;0.003350999999999993;0.988717;0.990057;0.0013400000000000079;9195066.0;9207531.0;12465.0;0.0013556183283513136;9300000.0;city
ID633;Lakóház;Bács-Kiskun;megyei jogú város;Kecskemét;47.0;1643.9609709090832;2->5;2;5;0.497955;0.488523;-0.009431999999999996;0.999182;0.995409;-0.0037730000000000263;24279122.0;24187445.0;-91677.0;-0.0037759602674264743;24299000.0;city
